"","lon","lat","Dataset","Loc_ID","Area_km","S","N","min_DBH_cm","GPP","ET","ANN_T","WARM_T","ISO_T","MIN_P","P_SEAS","ALT_DIF","ELONG","ISL_LS","ISL_ST","ISL_DIS","HABITAT","REALM","REALM_PK","DAT_TYPE","Source"
"292",-54.775,4.255,"CoelhodeSouza_Amazon","LMS-06",0.01,86,477,10,25153,12688.0830078125,26,27,76,275,44,119,1,"mainland","mainland","mainland","Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot","Coelho de Souza et al. (2016) Evolutionary heritage influences Amazon tree ecology. Proc R Soc B 283: 20161587."
"293",-54.775,4.265,"CoelhodeSouza_Amazon","LMS-07",0.01,85,476,10,25947,12993.3330078125,26.2,27.1,76,273,44,140,1,"mainland","mainland","mainland","Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot","Coelho de Souza et al. (2016) Evolutionary heritage influences Amazon tree ecology. Proc R Soc B 283: 20161587."
"294",-69.985,-3.065,"CoelhodeSouza_Amazon","LOR-01",0.01,275,874,10,25597,10892.5830078125,25.8,26.1,86,497,20,23,1,"mainland","mainland","mainland","Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot","Coelho de Souza et al. (2016) Evolutionary heritage influences Amazon tree ecology. Proc R Soc B 283: 20161587."
"295",-61.135,-14.395,"CoelhodeSouza_Amazon","LSL-01",0.01,100,779,10,26012,13901.9169921875,24.2,25.2,70,63,69,22,1,"mainland","mainland","mainland","Tropical and Subtropical Dry Broadleaf Forests","Neotropic","Neotropic","Plot","Coelho de Souza et al. (2016) Evolutionary heritage influences Amazon tree ecology. Proc R Soc B 283: 20161587."
"296",-74.835,4.915,"CoelhodeSouza_Amazon","LST-01",0.001,20,96,10,27702,13074.75,27,27.3,85,200,45,130,1,"mainland","mainland","mainland","Tropical and Subtropical Dry Broadleaf Forests","Neotropic","Neotropic","Plot","Coelho de Souza et al. (2016) Evolutionary heritage influences Amazon tree ecology. Proc R Soc B 283: 20161587."
"297",-67.035,1.895,"CoelhodeSouza_Amazon","MAJ-01",0.001,24,65,10,23410,10600.1669921875,26.2,26.6,93,640,23,27,1,"mainland","mainland","mainland","Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot","Coelho de Souza et al. (2016) Evolutionary heritage influences Amazon tree ecology. Proc R Soc B 283: 20161587."
"298",-67.045,1.895,"CoelhodeSouza_Amazon","MAJ-02",0.001,45,105,10,23896,10813.4169921875,26.2,26.6,93,645,23,31,1,"mainland","mainland","mainland","Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot","Coelho de Souza et al. (2016) Evolutionary heritage influences Amazon tree ecology. Proc R Soc B 283: 20161587."
"299",-76.085,7.555,"CoelhodeSouza_Amazon","MAS-01",0.001,45,77,10,24800,9766.5,26.4,26.9,85,241,45,38,1,"mainland","mainland","mainland","Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot","Coelho de Souza et al. (2016) Evolutionary heritage influences Amazon tree ecology. Proc R Soc B 283: 20161587."
"300",-65.895,-10.065,"CoelhodeSouza_Amazon","MBT-01",0.01,160,548,10,26029,12977.6669921875,26.4,27.2,73,54,66,37,1,"mainland","mainland","mainland","Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot","Coelho de Souza et al. (2016) Evolutionary heritage influences Amazon tree ecology. Proc R Soc B 283: 20161587."
"301",-65.895,-10.045,"CoelhodeSouza_Amazon","MBT-02",0.01,152,505,10,25285,12527.9169921875,26.3,27.1,73,54,66,29,1,"mainland","mainland","mainland","Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot","Coelho de Souza et al. (2016) Evolutionary heritage influences Amazon tree ecology. Proc R Soc B 283: 20161587."
"302",-65.545,-10.305,"CoelhodeSouza_Amazon","MBT-04",0.01,155,560,10,25281,12696.9169921875,26.3,27.1,72,57,65,32,1,"mainland","mainland","mainland","Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot","Coelho de Souza et al. (2016) Evolutionary heritage influences Amazon tree ecology. Proc R Soc B 283: 20161587."
